Слово,Сумма_слов,Нормализованная_частотность
модель,104,7.496813854
действовать,28,7.496813854
операция,21,7.496813854
сон,25,7.496813854
малый,102,14.99362771
свободный,35,7.496813854
обычный,37,14.99362771
магазин,98,7.496813854
выход,26,7.496813854
удар,13,7.496813854
знание,85,7.496813854
возраст,12,14.99362771
петь,104,14.99362771
показаться,28,14.99362771
вызывать,21,14.99362771
соответствие,11,7.496813854
внешний,47,7.496813854
зрение,11,14.99362771
состоять,188,14.99362771
огонь,68,14.99362771
отдать,20,7.496813854
боевой,6,7.496813854
строительство,39,7.496813854
понятие,12,7.496813854
нос,76,14.99362771
выступать,20,7.496813854
грудь,11,7.496813854
рабочий,157,7.496813854
радость,54,14.99362771
сад,133,14.99362771
долгий,31,7.496813854
лето,193,14.99362771
прямой,89,7.496813854
открытый,39,7.496813854
возникнуть,49,14.99362771
рот,28,7.496813854
знакомый,86,7.496813854
будущее,71,7.496813854
звать,45,14.99362771
хватать,36,7.496813854
выпить,13,7.496813854
знаменитый,55,14.99362771
подготовка,14,7.496813854
пустой,75,14.99362771
хозяйство,46,14.99362771
получаться,96,7.496813854
учиться,176,7.496813854
расти,229,14.99362771
обнаружить,24,7.496813854
мужик,6,7.496813854
источник,91,14.99362771
итог,11,7.496813854
сто,18,7.496813854
нести,37,7.496813854
быстрый,32,7.496813854
войско,33,14.99362771
холодный,135,14.99362771
предел,9,7.496813854
смеяться,18,7.496813854
учёный,167,14.99362771
бой,21,7.496813854
родиться,271,14.99362771
зуб,30,7.496813854
считаться,25,7.496813854
занять,17,7.496813854
товар,75,7.496813854
гора,147,7.496813854
звонить,27,7.496813854
зависеть,88,14.99362771
построить,139,7.496813854
частый,12,7.496813854
актёр,17,14.99362771
слеза,14,7.496813854
значительный,4,7.496813854
учитель,79,7.496813854
встретить,49,7.496813854
принадлежать,60,7.496813854
связанный,23,14.99362771
занимать,48,7.496813854
корабль,74,7.496813854
центральный,15,14.99362771
впечатление,25,7.496813854
частность,1,7.496813854
будущий,25,14.99362771
улыбаться,8,7.496813854
прошлое,34,14.99362771
враг,63,7.496813854
собрание,11,7.496813854
сравнение,46,7.496813854
постоянный,29,7.496813854
бить,31,7.496813854
